ID,Total,class,land_cover,Percent,Year
C12-S3,3487,"Developed, Medium Intensity",59,1.69199885288213,2013
C12-S3,3487,Developed High Intensity,24,0.688270719816461,2013
C12-S3,3487,Barren Land (Rock/Sand/Clay),3,0.0860338399770576,2013
C12-S3,3487,Deciduous Forest,311,8.91884141095498,2013
C12-S3,3487,Evergreen Forest,425,12.1881273300832,2013
C12-S3,3487,Mixed Forest,531,15.2279896759392,2013
C12-S3,3487,Shrub/Scrub,49,1.40521938629194,2013
C12-S3,3487,Grassland/Herbaceous,55,1.57728706624606,2013
C12-S3,3487,Pasture/Hay,619,17.7516489819329,2013
C12-S3,3487,Cultivated Crops,406,11.6432463435618,2013
C12-S3,3487,Woody Wetlands,564,16.1743619156868,2013
C12-S3,3487,Emergent Herbaceous Wetlands,14,0.401491253226269,2013
C12-S4,3485,Open Water,33,0.946915351506456,2013
C12-S4,3485,"Developed, Open Space",225,6.45624103299857,2013
C12-S4,3485,"Developed, Low Intensity",148,4.2467718794835,2013
C12-S4,3485,"Developed, Medium Intensity",59,1.69296987087518,2013
C12-S4,3485,Developed High Intensity,25,0.717360114777618,2013
C12-S4,3485,Barren Land (Rock/Sand/Clay),1,0.0286944045911047,2013
C12-S4,3485,Deciduous Forest,328,9.41176470588235,2013
C12-S4,3485,Evergreen Forest,405,11.6212338593974,2013
C12-S4,3485,Mixed Forest,555,15.9253945480631,2013
C12-S4,3485,Shrub/Scrub,37,1.06169296987088,2013
C12-S4,3485,Grassland/Herbaceous,46,1.31994261119082,2013
C12-S4,3485,Pasture/Hay,634,18.1922525107604,2013
C12-S4,3485,Cultivated Crops,431,12.3672883787661,2013
C12-S4,3485,Woody Wetlands,544,15.609756097561,2013
C12-S4,3485,Emergent Herbaceous Wetlands,14,0.401721664275466,2013
C12-S5,3492,Open Water,201,5.75601374570447,2013
C12-S5,3492,"Developed, Open Space",259,7.41695303550974,2013
C12-S5,3492,"Developed, Low Intensity",187,5.35509736540664,2013
C12-S5,3492,"Developed, Medium Intensity",68,1.94730813287514,2013
C12-S5,3492,Developed High Intensity,6,0.171821305841924,2013
C12-S5,3492,Barren Land (Rock/Sand/Clay),2,0.0572737686139748,2013
C12-S5,3492,Deciduous Forest,362,10.3665521191294,2013
C12-S5,3492,Evergreen Forest,825,23.6254295532646,2013
C12-S5,3492,Mixed Forest,563,16.1225658648339,2013
C12-S5,3492,Shrub/Scrub,18,0.515463917525773,2013
C12-S5,3492,Grassland/Herbaceous,181,5.18327605956472,2013
C12-S5,3492,Pasture/Hay,161,4.61053837342497,2013
C12-S5,3492,Cultivated Crops,155,4.43871706758305,2013
C12-S5,3492,Woody Wetlands,491,14.0607101947308,2013
C12-S5,3492,Emergent Herbaceous Wetlands,13,0.372279495990836,2013
C12-S6,3490,Open Water,7,0.200573065902579,2013
C12-S6,3490,"Developed, Open Space",160,4.58452722063037,2013
C12-S6,3490,"Developed, Low Intensity",49,1.40401146131805,2013
C12-S6,3490,"Developed, Medium Intensity",6,0.171919770773639,2013
C12-S6,3490,Deciduous Forest,688,19.7134670487106,2013
C12-S6,3490,Evergreen Forest,886,25.3868194842407,2013
C12-S6,3490,Mixed Forest,740,21.2034383954155,2013
C12-S6,3490,Shrub/Scrub,8,0.229226361031519,2013
C12-S6,3490,Grassland/Herbaceous,58,1.66189111747851,2013
C12-S6,3490,Pasture/Hay,184,5.27220630372493,2013
C12-S6,3490,Cultivated Crops,84,2.40687679083095,2013
C12-S6,3490,Woody Wetlands,615,17.621776504298,2013
C12-S6,3490,Emergent Herbaceous Wetlands,5,0.143266475644699,2013
C13-S1,3491,Open Water,1,0.0286450873675165,2013
C13-S1,3491,"Developed, Open Space",87,2.49212260097393,2013
C13-S1,3491,"Developed, Low Intensity",48,1.37496419364079,2013
C13-S1,3491,"Developed, Medium Intensity",1,0.0286450873675165,2013
C13-S1,3491,Evergreen Forest,1206,34.5459753652249,2013
C13-S1,3491,Mixed Forest,2,0.0572901747350329,2013
C13-S1,3491,Shrub/Scrub,86,2.46347751360642,2013
C13-S1,3491,Grassland/Herbaceous,32,0.916642795760527,2013
C13-S1,3491,Pasture/Hay,34,0.97393297049556,2013
C13-S1,3491,Cultivated Crops,47,1.34631910627327,2013
C13-S1,3491,Woody Wetlands,1943,55.6574047550845,2013
C13-S1,3491,Emergent Herbaceous Wetlands,4,0.114580349470066,2013
C13-S2,3487,Open Water,108,3.09721823917408,2013
C13-S2,3487,"Developed, Open Space",72,2.06481215944938,2013
C13-S2,3487,"Developed, Low Intensity",20,0.573558933180384,2013
C13-S2,3487,"Developed, Medium Intensity",2,0.0573558933180384,2013
C13-S2,3487,Evergreen Forest,414,11.872669916834,2013
C13-S2,3487,Shrub/Scrub,60,1.72067679954115,2013
C13-S2,3487,Grassland/Herbaceous,4,0.114711786636077,2013
C13-S2,3487,Cultivated Crops,584,16.7479208488672,2013
C13-S2,3487,Woody Wetlands,2216,63.5503297963866,2013
C13-S2,3487,Emergent Herbaceous Wetlands,7,0.200745626613135,2013
C13-S3,3501,Open Water,95,2.71351042559269,2013
C13-S3,3501,"Developed, Open Space",74,2.11368180519851,2013
C13-S3,3501,"Developed, Low Intensity",19,0.542702085118538,2013
C13-S3,3501,"Developed, Medium Intensity",1,0.0285632676378178,2013
C13-S3,3501,Evergreen Forest,488,13.9388746072551,2013
