"","ID","class","land_cover","Year"
"286","C18-S3","Developed, Open Space",427,2018
"287","C18-S3","Developed, Open Space",428,2019
"288","C18-S3","Developed, Open Space",428,2020
"289","C18-S3","Developed, Open Space",429,2021
"290","C18-S3","Developed, Open Space",430,2022
"291","C18-S4","Developed, Open Space",127,2013
"292","C18-S4","Developed, Open Space",127,2014
"293","C18-S4","Developed, Open Space",127,2015
"294","C18-S4","Developed, Open Space",127,2016
"295","C18-S4","Developed, Open Space",127,2017
"296","C18-S4","Developed, Open Space",127,2018
"297","C18-S4","Developed, Open Space",127,2019
"298","C18-S4","Developed, Open Space",127,2020
"299","C18-S4","Developed, Open Space",127,2021
"300","C18-S4","Developed, Open Space",127,2022
"301","C19-S1","Developed, Open Space",467,2013
"302","C19-S1","Developed, Open Space",469,2014
"303","C19-S1","Developed, Open Space",471,2015
"304","C19-S1","Developed, Open Space",473,2016
"305","C19-S1","Developed, Open Space",475,2017
"306","C19-S1","Developed, Open Space",478,2018
"307","C19-S1","Developed, Open Space",480,2019
"308","C19-S1","Developed, Open Space",482,2020
"309","C19-S1","Developed, Open Space",484,2021
"310","C19-S1","Developed, Open Space",486,2022
"311","C19-S2","Developed, Open Space",70,2013
"312","C19-S2","Developed, Open Space",69,2014
"313","C19-S2","Developed, Open Space",68,2015
"314","C19-S2","Developed, Open Space",68,2016
"315","C19-S2","Developed, Open Space",67,2017
"316","C19-S2","Developed, Open Space",66,2018
"317","C19-S2","Developed, Open Space",65,2019
"318","C19-S2","Developed, Open Space",64,2020
"319","C19-S2","Developed, Open Space",63,2021
"320","C19-S2","Developed, Open Space",62,2022
"321","C19-S3","Developed, Open Space",10,2013
"322","C19-S3","Developed, Open Space",10,2014
"323","C19-S3","Developed, Open Space",10,2015
"324","C19-S3","Developed, Open Space",10,2016
"325","C19-S3","Developed, Open Space",10,2017
"326","C19-S3","Developed, Open Space",10,2018
"327","C19-S3","Developed, Open Space",10,2019
"328","C19-S3","Developed, Open Space",10,2020
"329","C19-S3","Developed, Open Space",10,2021
"330","C19-S3","Developed, Open Space",10,2022
"331","C19-S4","Developed, Open Space",512,2013
"332","C19-S4","Developed, Open Space",510,2014
"333","C19-S4","Developed, Open Space",509,2015
"334","C19-S4","Developed, Open Space",507,2016
"335","C19-S4","Developed, Open Space",506,2017
"336","C19-S4","Developed, Open Space",504,2018
"337","C19-S4","Developed, Open Space",503,2019
"338","C19-S4","Developed, Open Space",501,2020
"339","C19-S4","Developed, Open Space",500,2021
"340","C19-S4","Developed, Open Space",498,2022
"341","C19-S5","Developed, Open Space",108,2013
"342","C19-S5","Developed, Open Space",108,2014
"343","C19-S5","Developed, Open Space",108,2015
"344","C19-S5","Developed, Open Space",108,2016
"345","C19-S5","Developed, Open Space",108,2017
"346","C19-S5","Developed, Open Space",108,2018
"347","C19-S5","Developed, Open Space",108,2019
"348","C19-S5","Developed, Open Space",108,2020
"349","C19-S5","Developed, Open Space",108,2021
"350","C19-S5","Developed, Open Space",108,2022
"351","C19-S6","Developed, Open Space",31,2013
"352","C19-S6","Developed, Open Space",31,2014
"353","C19-S6","Developed, Open Space",31,2015
"354","C19-S6","Developed, Open Space",31,2016
"355","C19-S6","Developed, Open Space",31,2017
"356","C19-S6","Developed, Open Space",31,2018
"357","C19-S6","Developed, Open Space",31,2019
"358","C19-S6","Developed, Open Space",31,2020
"359","C19-S6","Developed, Open Space",31,2021
"360","C19-S6","Developed, Open Space",31,2022
"361","C1-S1","Developed, Open Space",53,2013
"362","C1-S1","Developed, Open Space",56,2014
"363","C1-S1","Developed, Open Space",60,2015
"364","C1-S1","Developed, Open Space",64,2016
"365","C1-S1","Developed, Open Space",68,2017
"366","C1-S1","Developed, Open Space",72,2018
"367","C1-S1","Developed, Open Space",76,2019
"368","C1-S1","Developed, Open Space",80,2020
"369","C1-S1","Developed, Open Space",84,2021
"370","C1-S1","Developed, Open Space",88,2022
"371","C1-S2","Developed, Open Space",132,2013
"372","C1-S2","Developed, Open Space",131,2014
"373","C1-S2","Developed, Open Space",131,2015
"374","C1-S2","Developed, Open Space",130,2016
"375","C1-S2","Developed, Open Space",130,2017
"376","C1-S2","Developed, Open Space",130,2018
"377","C1-S2","Developed, Open Space",129,2019
"378","C1-S2","Developed, Open Space",129,2020
"379","C1-S2","Developed, Open Space",129,2021
"380","C1-S2","Developed, Open Space",128,2022
"381","C1-S3","Developed, Open Space",99,2013
"382","C1-S3","Developed, Open Space",99,2014
"383","C1-S3","Developed, Open Space",99,2015
"384","C1-S3","Developed, Open Space",98,2016
"385","C1-S3","Developed, Open Space",98,2017
"386","C1-S3","Developed, Open Space",97,2018
"387","C1-S3","Developed, Open Space",97,2019
"388","C1-S3","Developed, Open Space",96,2020
"389","C1-S3","Developed, Open Space",96,2021
"390","C1-S3","Developed, Open Space",95,2022
"391","C1-S4","Developed, Open Space",90,2013
"392","C1-S4","Developed, Open Space",89,2014
"393","C1-S4","Developed, Open Space",89,2015
"394","C1-S4","Developed, Open Space",88,2016
"395","C1-S4","Developed, Open Space",88,2017
"396","C1-S4","Developed, Open Space",87,2018
"397","C1-S4","Developed, Open Space",87,2019
"398","C1-S4","Developed, Open Space",86,2020
"399","C1-S4","Developed, Open Space",86,2021
"400","C1-S4","Developed, Open Space",85,2022
"401","C1-S5","Developed, Open Space",199,2013
"402","C1-S5","Developed, Open Space",199,2014
"403","C1-S5","Developed, Open Space",198,2015
"404","C1-S5","Developed, Open Space",197,2016
"405","C1-S5","Developed, Open Space",196,2017
"406","C1-S5","Developed, Open Space",196,2018
"407","C1-S5","Developed, Open Space",195,2019
"408","C1-S5","Developed, Open Space",194,2020
"409","C1-S5","Developed, Open Space",194,2021
"410","C1-S5","Developed, Open Space",193,2022
"411","C200-S1","Developed, Open Space",40,2013
"412","C200-S1","Developed, Open Space",40,2014
"413","C200-S1","Developed, Open Space",40,2015
"414","C200-S1","Developed, Open Space",40,2016
"415","C200-S1","Developed, Open Space",40,2017
"416","C200-S1","Developed, Open Space",40,2018
"417","C200-S1","Developed, Open Space",40,2019
"418","C200-S1","Developed, Open Space",40,2020
"419","C200-S1","Developed, Open Space",40,2021
"420","C200-S1","Developed, Open Space",40,2022
"421","C200-S2","Developed, Open Space",32,2013
"422","C200-S2","Developed, Open Space",32,2014
"423","C200-S2","Developed, Open Space",32,2015
"424","C200-S2","Developed, Open Space",32,2016
"425","C200-S2","Developed, Open Space",32,2017
"426","C200-S2","Developed, Open Space",32,2018
"427","C200-S2","Developed, Open Space",32,2019
"428","C200-S2","Developed, Open Space",32,2020
"429","C200-S2","Developed, Open Space",32,2021
"430","C200-S2","Developed, Open Space",32,2022
"431","C200-S3","Developed, Open Space",255,2013
"432","C200-S3","Developed, Open Space",255,2014
"433","C200-S3","Developed, Open Space",255,2015
"434","C200-S3","Developed, Open Space",254,2016
"435","C200-S3","Developed, Open Space",254,2017
"436","C200-S3","Developed, Open Space",254,2018
"437","C200-S3","Developed, Open Space",253,2019
"438","C200-S3","Developed, Open Space",253,2020
"439","C200-S3","Developed, Open Space",253,2021
"440","C200-S3","Developed, Open Space",253,2022
"441","C200-S4","Developed, Open Space",245,2013
"442","C200-S4","Developed, Open Space",245,2014
"443","C200-S4","Developed, Open Space",245,2015
"444","C200-S4","Developed, Open Space",244,2016
"445","C200-S4","Developed, Open Space",244,2017
"446","C200-S4","Developed, Open Space",243,2018
"447","C200-S4","Developed, Open Space",243,2019
"448","C200-S4","Developed, Open Space",242,2020
"449","C200-S4","Developed, Open Space",242,2021
"450","C200-S4","Developed, Open Space",241,2022
"451","C200-S5","Developed, Open Space",1397,2013
"452","C200-S5","Developed, Open Space",1397,2014
"453","C200-S5","Developed, Open Space",1396,2015
"454","C200-S5","Developed, Open Space",1395,2016
"455","C200-S5","Developed, Open Space",1395,2017
"456","C200-S5","Developed, Open Space",1394,2018
"457","C200-S5","Developed, Open Space",1394,2019
"458","C200-S5","Developed, Open Space",1393,2020
"459","C200-S5","Developed, Open Space",1393,2021
"460","C200-S5","Developed, Open Space",1392,2022
"461","C201-S1","Developed, Open Space",155,2013
"462","C201-S1","Developed, Open Space",155,2014
"463","C201-S1","Developed, Open Space",155,2015
"464","C201-S1","Developed, Open Space",155,2016
"465","C201-S1","Developed, Open Space",155,2017
"466","C201-S1","Developed, Open Space",154,2018
"467","C201-S1","Developed, Open Space",154,2019
"468","C201-S1","Developed, Open Space",154,2020
"469","C201-S1","Developed, Open Space",154,2021
"470","C201-S1","Developed, Open Space",154,2022
"471","C201-S2","Developed, Open Space",114,2013
"472","C201-S2","Developed, Open Space",114,2014
"473","C201-S2","Developed, Open Space",114,2015
"474","C201-S2","Developed, Open Space",114,2016
"475","C201-S2","Developed, Open Space",114,2017
"476","C201-S2","Developed, Open Space",113,2018
"477","C201-S2","Developed, Open Space",113,2019
"478","C201-S2","Developed, Open Space",113,2020
"479","C201-S2","Developed, Open Space",113,2021
"480","C201-S2","Developed, Open Space",113,2022
"481","C202-S1","Developed, Open Space",172,2013
"482","C202-S1","Developed, Open Space",172,2014
"483","C202-S1","Developed, Open Space",172,2015
"484","C202-S1","Developed, Open Space",172,2016
"485","C202-S1","Developed, Open Space",172,2017
"486","C202-S1","Developed, Open Space",171,2018
"487","C202-S1","Developed, Open Space",171,2019
"488","C202-S1","Developed, Open Space",171,2020
"489","C202-S1","Developed, Open Space",171,2021
"490","C202-S1","Developed, Open Space",171,2022
"491","C202-S2","Developed, Open Space",461,2013
"492","C202-S2","Developed, Open Space",464,2014
"493","C202-S2","Developed, Open Space",467,2015
"494","C202-S2","Developed, Open Space",471,2016
"495","C202-S2","Developed, Open Space",474,2017
"496","C202-S2","Developed, Open Space",478,2018
"497","C202-S2","Developed, Open Space",481,2019
"498","C202-S2","Developed, Open Space",484,2020
"499","C202-S2","Developed, Open Space",488,2021
"500","C202-S2","Developed, Open Space",491,2022
"501","C203-S1","Developed, Open Space",116,2013
"502","C203-S1","Developed, Open Space",116,2014
"503","C203-S1","Developed, Open Space",116,2015
"504","C203-S1","Developed, Open Space",117,2016
"505","C203-S1","Developed, Open Space",117,2017
"506","C203-S1","Developed, Open Space",117,2018
"507","C203-S1","Developed, Open Space",117,2019
"508","C203-S1","Developed, Open Space",117,2020
"509","C203-S1","Developed, Open Space",117,2021
"510","C203-S1","Developed, Open Space",117,2022
"511","C203-S2","Developed, Open Space",59,2013
"512","C203-S2","Developed, Open Space",59,2014
"513","C203-S2","Developed, Open Space",59,2015
"514","C203-S2","Developed, Open Space",59,2016
"515","C203-S2","Developed, Open Space",59,2017
"516","C203-S2","Developed, Open Space",59,2018
"517","C203-S2","Developed, Open Space",59,2019
"518","C203-S2","Developed, Open Space",59,2020
"519","C203-S2","Developed, Open Space",59,2021
"520","C203-S2","Developed, Open Space",59,2022
"521","C204-S1","Developed, Open Space",166,2013
"522","C204-S1","Developed, Open Space",168,2014
"523","C204-S1","Developed, Open Space",169,2015
"524","C204-S1","Developed, Open Space",171,2016
"525","C204-S1","Developed, Open Space",172,2017
"526","C204-S1","Developed, Open Space",174,2018
"527","C204-S1","Developed, Open Space",176,2019
"528","C204-S1","Developed, Open Space",177,2020
"529","C204-S1","Developed, Open Space",179,2021
"530","C204-S1","Developed, Open Space",180,2022
"531","C204-S2","Developed, Open Space",210,2013
"532","C204-S2","Developed, Open Space",210,2014
"533","C204-S2","Developed, Open Space",210,2015
"534","C204-S2","Developed, Open Space",210,2016
"535","C204-S2","Developed, Open Space",210,2017
"536","C204-S2","Developed, Open Space",209,2018
"537","C204-S2","Developed, Open Space",209,2019
"538","C204-S2","Developed, Open Space",209,2020
"539","C204-S2","Developed, Open Space",209,2021
"540","C204-S2","Developed, Open Space",209,2022
"541","C205-S1","Developed, Open Space",103,2013
"542","C205-S1","Developed, Open Space",103,2014
"543","C205-S1","Developed, Open Space",103,2015
"544","C205-S1","Developed, Open Space",103,2016
"545","C205-S1","Developed, Open Space",103,2017
"546","C205-S1","Developed, Open Space",103,2018
"547","C205-S1","Developed, Open Space",103,2019
"548","C205-S1","Developed, Open Space",103,2020
"549","C205-S1","Developed, Open Space",103,2021
"550","C205-S1","Developed, Open Space",103,2022
"551","C205-S2","Developed, Open Space",277,2013
"552","C205-S2","Developed, Open Space",277,2014
"553","C205-S2","Developed, Open Space",277,2015
"554","C205-S2","Developed, Open Space",277,2016
"555","C205-S2","Developed, Open Space",277,2017
"556","C205-S2","Developed, Open Space",276,2018
"557","C205-S2","Developed, Open Space",276,2019
"558","C205-S2","Developed, Open Space",276,2020
"559","C205-S2","Developed, Open Space",276,2021
"560","C205-S2","Developed, Open Space",275,2022
"561","C206-S1","Developed, Open Space",175,2013
"562","C206-S1","Developed, Open Space",175,2014
